type,name,num_nodes,num_edges,gpn_num
bipartite,bipartite_8_nodes_16,8,7,36
bipartite,bipartite_8_nodes_17,8,7,36
bipartite,bipartite_8_nodes_18,8,7,36
bipartite,bipartite_8_nodes_19,8,8,42
bipartite,bipartite_8_nodes_20,8,7,36
bipartite,bipartite_8_nodes_21,8,8,42
bipartite,bipartite_8_nodes_22,8,7,36
bipartite,bipartite_8_nodes_23,8,8,44
bipartite,bipartite_8_nodes_24,8,8,46
bipartite,bipartite_8_nodes_25,8,9,47
bipartite,bipartite_8_nodes_26,8,7,36
bipartite,bipartite_8_nodes_27,8,8,42
bipartite,bipartite_8_nodes_28,8,7,36
bipartite,bipartite_8_nodes_29,8,8,45
bipartite,bipartite_8_nodes_30,8,9,47
bipartite,bipartite_8_nodes_31,8,9,49
bipartite,bipartite_8_nodes_32,8,10,51
bipartite,bipartite_8_nodes_33,8,9,51
bipartite,bipartite_8_nodes_34,8,10,51
bipartite,bipartite_8_nodes_35,8,11,54
bipartite,bipartite_8_nodes_36,8,8,42
bipartite,bipartite_8_nodes_37,8,9,47
bipartite,bipartite_8_nodes_38,8,7,36
bipartite,bipartite_8_nodes_39,8,8,42
bipartite,bipartite_8_nodes_40,8,8,41
bipartite,bipartite_8_nodes_41,8,9,48
bipartite,bipartite_8_nodes_42,8,8,43
bipartite,bipartite_8_nodes_43,8,9,49
bipartite,bipartite_8_nodes_44,8,9,50
bipartite,bipartite_8_nodes_45,8,10,53
bipartite,bipartite_8_nodes_46,8,8,45
bipartite,bipartite_8_nodes_47,8,7,36
bipartite,bipartite_8_nodes_48,8,8,42
bipartite,bipartite_8_nodes_49,8,9,49
bipartite,bipartite_8_nodes_50,8,7,36
bipartite,bipartite_8_nodes_51,8,8,42
bipartite,bipartite_8_nodes_52,8,7,36
bipartite,bipartite_8_nodes_53,8,8,41
bipartite,bipartite_8_nodes_54,8,9,50
bipartite,bipartite_8_nodes_55,8,9,47
bipartite,bipartite_8_nodes_56,8,9,47
bipartite,bipartite_8_nodes_57,8,10,53
bipartite,bipartite_8_nodes_58,8,10,55
bipartite,bipartite_8_nodes_59,8,11,58
bipartite,bipartite_8_nodes_60,8,8,42
bipartite,bipartite_8_nodes_61,8,8,45
bipartite,bipartite_8_nodes_62,8,9,53
bipartite,bipartite_8_nodes_63,8,9,47
bipartite,bipartite_8_nodes_64,8,10,55
bipartite,bipartite_8_nodes_65,8,9,47
bipartite,bipartite_8_nodes_66,8,10,55
bipartite,bipartite_8_nodes_67,8,10,51
bipartite,bipartite_8_nodes_68,8,10,50
bipartite,bipartite_8_nodes_69,8,11,57
bipartite,bipartite_8_nodes_70,8,12,62
bipartite,bipartite_8_nodes_71,8,9,47
bipartite,bipartite_8_nodes_72,8,10,57
bipartite,bipartite_8_nodes_73,8,11,56
bipartite,bipartite_8_nodes_74,8,10,51
bipartite,bipartite_8_nodes_75,8,10,56
bipartite,bipartite_8_nodes_76,8,10,56
bipartite,bipartite_8_nodes_77,8,11,59
bipartite,bipartite_8_nodes_78,8,11,58
bipartite,bipartite_8_nodes_79,8,12,62
bipartite,bipartite_8_nodes_80,8,9,46
bipartite,bipartite_8_nodes_81,8,10,55
bipartite,bipartite_8_nodes_82,8,10,51
bipartite,bipartite_8_nodes_83,8,11,58
bipartite,bipartite_8_nodes_84,8,11,62
bipartite,bipartite_8_nodes_85,8,11,62
bipartite,bipartite_8_nodes_86,8,11,59
bipartite,bipartite_8_nodes_87,8,12,64
bipartite,bipartite_8_nodes_88,8,13,67
bipartite,bipartite_8_nodes_89,8,12,66
bipartite,bipartite_8_nodes_90,8,13,63
bipartite,bipartite_8_nodes_91,8,12,65
bipartite,bipartite_8_nodes_92,8,13,68
bipartite,bipartite_8_nodes_93,8,14,69
bipartite,bipartite_8_nodes_94,8,15,68
bipartite,bipartite_8_nodes_95,8,7,36
bipartite,bipartite_8_nodes_96,8,7,36
bipartite,bipartite_8_nodes_97,8,7,36
bipartite,bipartite_8_nodes_98,8,8,42
bipartite,bipartite_8_nodes_99,8,8,44
bipartite,bipartite_8_nodes_100,8,9,48
bipartite,bipartite_8_nodes_101,8,8,42
bipartite,bipartite_8_nodes_102,8,9,48
bipartite,bipartite_8_nodes_103,8,7,36
bipartite,bipartite_8_nodes_104,8,8,42
bipartite,bipartite_8_nodes_105,8,7,36
bipartite,bipartite_8_nodes_106,8,8,46
bipartite,bipartite_8_nodes_107,8,9,47
bipartite,bipartite_8_nodes_108,8,10,52
bipartite,bipartite_8_nodes_109,8,8,44
bipartite,bipartite_8_nodes_110,8,8,41
bipartite,bipartite_8_nodes_111,8,9,49
bipartite,bipartite_8_nodes_112,8,10,53
bipartite,bipartite_8_nodes_113,8,8,42
bipartite,bipartite_8_nodes_114,8,8,42
bipartite,bipartite_8_nodes_115,8,8,42
bipartite,bipartite_8_nodes_116,8,9,49
bipartite,bipartite_8_nodes_117,8,8,42
bipartite,bipartite_8_nodes_118,8,9,52
bipartite,bipartite_8_nodes_119,8,10,54
bipartite,bipartite_8_nodes_120,8,9,47
bipartite,bipartite_8_nodes_121,8,10,55
bipartite,bipartite_8_nodes_122,8,9,46
bipartite,bipartite_8_nodes_123,8,7,36
bipartite,bipartite_8_nodes_124,8,8,42
