id,gpn_num
J???????F~_,66
J??????_F~?,66
J??????oD~?,66
J??????oF~?,75
J??????o@~_,66
J??????wC~?,66
J??????wE~?,81
J??????wF~?,83
J??????w?~_,66
J??????{C^?,66
J??????{E^?,85
J??????{F^?,93
J??????{F~?,90
J??????{?^_,66
J??????}CN?,66
J??????}EN?,87
J??????}FN?,99
J??????}Fn?,102
J??????}F~?,96
J??????~FF?,101
J??????~Ff?,108
J??????~Fv?,108
J??????~F~?,101
J??????~fr?,112
J??????~fz?,111
J??????~f~?,105
J??????~v|?,111
J??????~v~?,108
J??????~~~?,110
J????A?OF}?,66
J????A?oD}?,66
J????A?oB}?,66
J????A?oF}?,75
J????A?WE}?,66
J????A?WF}?,75
J????A?WC}_,66
J????A?wC}?,66
J????A?wA}?,66
J????A?wE}?,80
J????A?wB}?,85
J????A?wF}?,83
J????A?w?~?,66
J????A?w?}_,66
J????A?w?~_,75
J????A?[E]?,66
J????A?[F]?,81
J????A?[F}?,83
J????A?[C]_,66
J????A?{C]?,66
J????A?{A]?,66
J????A?{E]?,83
J????A?{B]?,87
J????A?{F]?,91
J????A?{B}?,99
J????A?{F}?,90
J????A?{?^?,66
J????A?{?^_,75
J????A?]EM?,66
J????A?]FM?,85
J????A?]Fm?,93
J????A?]F}?,90
J????A?]CM_,66
J????A?}EM?,84
J????A?}FM?,95
J????A?}Bm?,101
J????A?}Fm?,99
J????A?}B}?,108
J????A?}F}?,96
J????A?^FE?,87
J????A?^Fe?,99
J????A?^Fu?,102
J????A?^F}?,96
J????A?~Fe?,102
J????A?~Fu?,104
J????A?~B}?,112
J????A?~F}?,101
J????A?^fq?,108
J????A?^fy?,108
J????A?^f}?,101
J????A?~fy?,106
J????A?~f}?,105
J????A?^v{?,111
J????A?^v}?,105
J????A?~v}?,108
J????B?oD}?,75
J????B?oF}?,83
J????B?gC}?,66
J????B?gA}?,66
J????B?gE}?,75
J????B?gB}?,74
J????B?gF}?,84
J????B?g?~?,66
J????B?g?~_,76
J????B?wC}?,75
J????B?wE}?,88
J????B?w@}?,75
J????B?wD}?,89
J????B?wF}?,92
J????B?w?~?,81
J????B?w?}_,75
J????B?w?~_,83
J????B?KD]?,66
J????B?KF]?,75
J????B?KF}?,85
J????B?K@^?,66
J????B?K@~?,75
J????B?K?^_,66
J????B?kC]?,66
J????B?kA]?,66
J????B?kE]?,75
J????B?k@]?,66
J????B?kD]?,79
J????B?kB]?,74
J????B?kF]?,89
J????B?k@}?,87
J????B?kD}?,83
J????B?kB}?,86
J????B?kF}?,92
J????B?k?^?,66
J????B?k?]_,66
J????B?k?^_,77
J????B?{C]?,75
J????B?{E]?,91
J????B?{@]?,75
J????B?{D]?,92
J????B?{F]?,100
J????B?{@}?,101
J????B?{D}?,100
J????B?{F}?,100
J????B?{?^?,85
J????B?{?^_,83
J????B?MDM?,66
J????B?MFM?,75
J????B?MDm?,81
J????B?MFm?,92
J????B?MD}?,83
J????B?MF}?,94
J????B?M@N?,66
J????B?M@n?,81
J????B?M@~?,83
J????B?MCM_,66
J????B?MEM_,75
J????B?M?N_,66
J????B?mCM?,66
J????B?mAM?,66
J????B?mEM?,75
J????B?mDM?,81
J????B?mBM?,74
J????B?mFM?,92
J????B?m@m?,87
J????B?mDm?,89
J????B?mBm?,89
J????B?mFm?,100
J????B?m@}?,101
J????B?mD}?,90
J????B?mB}?,95
J????B?mF}?,99
J????B?}EM?,92
J????B?}FM?,104
J????B?}Dm?,104
J????B?}Fm?,109
J????B?}@}?,118
J????B?}D}?,108
J????B?}F}?,107
J????B?NDE?,66
J????B?NFE?,75
J????B?NDe?,85
J????B?NFe?,97
J????B?NDu?,93
J????B?NFu?,106
J????B?ND}?,90
J????B?NF}?,102
J????B?N@f?,85
J????B?N@v?,93
J????B?N@~?,90
J????B?NEE_,75
J????B?nFE?,93
J????B?nDe?,91
J????B?nBe?,90
J????B?nFe?,104
J????B?nDu?,96
J????B?nBu?,99
J????B?nFu?,108
J????B?n@}?,108
J????B?nD}?,96
J????B?nB}?,101
J????B?nF}?,105
J????B?~Fe?,112
J????B?~Fu?,115
J????B?~D}?,113
J????B?~F}?,113
J????B?Nfa?,100
J????B?Ndq?,99
J????B?Nfq?,114
J????B?Ndy?,102
J????B?Nfy?,117
J????B?Nd}?,96
J????B?Nf}?,109
J????B?N`z?,102
J????B?N`~?,96
J????B?nfq?,111
J????B?ndy?,100
J????B?nby?,104
J????B?nfy?,113
J????B?nd}?,101
J????B?nb}?,104
J????B?nf}?,110
J????B?~fy?,118
J????B?~f}?,118
J????B?Nvw?,126
J????B?Nt{?,108
J????B?Nv{?,125
J????B?Nt}?,101
J????B?Nv}?,115
J????B?Np~?,101
J????B?nv{?,115
J????B?nt}?,105
J????B?nr}?,104
J????B?nv}?,114
J????B?~v}?,122
J????B?KK]?,66
J????B?KM]?,87
J????B?KG^?,66
J????B?KH^?,79
J????B?KH~?,83
J????B?MKM?,66
J????B?MMM?,87
J????B?MHM?,66
J????B?MHm?,87
J????B?MH}?,101
J????B?MHN?,81
J????B?MHn?,89
J????B?MH~?,90
J????B?MKM_,78
J????B?MMM_,83
J????B?NHu?,99
J????B?NH}?,108
J????B?NHf?,91
J????B?NHv?,96
J????B?NH~?,96
J????B?Nh}?,108
J????B?Nhz?,100
J????B?Nh~?,101
J????B?Nx~?,105
J????B_wC}?,83
J????B_wE}?,102
J????B_wF}?,98
J????B_w?~?,83
J????B_w?~_,90
J????B_sC]?,76
J????B_sE]?,92
J????B_s@]?,81
J????B_sD]?,89
J????B_sF]?,98
J????B_s@}?,82
J????B_sD}?,101
J????B_sF}?,101
J????B_s?^?,81
J????B_s?^_,85
J????B_{C]?,83
J????B_{E]?,104
J????B_{F]?,106
J????B_{?}?,83
J????B_{C}?,100
J????B_{E}?,113
J????B_{F}?,107
J????B_{?^?,93
J????B_{?^_,90
J????B_eCM?,66
J????B_eAM?,66
J????B_eEM?,78
J????B_eBM?,87
J????B_eFM?,83
J????B_eAm?,74
J????B_eEm?,92
J????B_eBm?,85
J????B_eFm?,97
J????B_eB}?,96
J????B_eF}?,100
J????B_e?N_,79
J????B_uEM?,94
J????B_uDM?,89
J????B_uFM?,102
J????B_uCm?,92
J????B_uEm?,104
J????B_u@m?,83
J????B_uDm?,104
J????B_uFm?,110
J????B_u?}?,110
J????B_uC}?,100
J????B_uE}?,107
J????B_u@}?,96
J????B_uD}?,110
J????B_uF}?,109
J????B_u?N?,85
J????B_}FM?,110
