id,gpn_num
K??????o@o_},78
K??????o@oc},96
K??????o@oe},105
K??????o@of},105
K??????o@o_|,78
K??????o@oo|,92
K??????o@ow|,97
K??????o@ww[,103
K??????o@we[,103
K??????o@wf[,121
K??????o@wf{,132
K??????o@wc],97
K??????o@we],109
K??????o@wf],114
K??????o@wf},112
K??????o@ww\,97
K??????o@{fk,129
K??????o@{f{,136
K??????o@{fM,117
K??????o@{fm,120
K??????o@{f},118
K??????o@}f{,133
K??????o@}fu,123
K??????o@}f},123
K??????o@~f},127
K??????wF?R{,97
K??????wF?Z{,119
K??????wF?^{,114
K??????wF?B},97
K??????wF?B~,105
K??????wE_P{,89
K??????wE_X{,108
K??????wE_D{,95
K??????wE_T{,104
K??????wE_\{,114
K??????wE_F{,96
K??????wE_V{,118
K??????wE_^{,117
K??????wE_@},95
K??????wE_@~,99
K??????wF_P{,97
K??????wF_X{,122
K??????wF_\{,124
K??????wF_B{,97
K??????wF_R{,117
K??????wF_Z{,132
K??????wF_^{,124
K??????wF_@},109
K??????wF_@|,97
K??????wF_@~,105
K??????wCoO{,78
K??????wCoG{,78
K??????wCoW{,92
K??????wCoK{,104
K??????wCo[{,97
K??????wCoI{,87
K??????wCoY{,108
K??????wCoM{,100
K??????wCo]{,113
K??????wCoN{,113
K??????wCo^{,116
K??????wCo?},78
K??????wCo?~,92
K??????wEoO{,90
K??????wEoW{,111
K??????wEoC{,100
K??????wEoS{,104
K??????wEo[{,119
K??????wEoA{,95
K??????wEoQ{,108
K??????wEoY{,122
K??????wEoE{,97
K??????wEoU{,122
K??????wEo]{,128
K??????wEoB{,131
K??????wEoR{,117
K??????wEoZ{,124
K??????wEoF{,113
K??????wEoV{,129
K??????wEo^{,126
K??????wEo?},100
K??????wEo?~,101
K??????wFoW{,123
K??????wFo[{,130
K??????wFoQ{,119
K??????wFoY{,137
K??????wFo]{,136
K??????wFoB{,133
K??????wFoR{,132
K??????wFoZ{,142
K??????wFo^{,133
K??????w?wQ[,78
K??????w?wY[,95
K??????w?w][,97
K??????w?wZ[,116
K??????w?w^[,118
K??????w?w^{,120
K??????w?wA],78
K??????w?wB],95
K??????w?wB},97
K??????w?w?^,78
K??????wCwO[,78
K??????wCwG[,78
K??????wCwW[,91
K??????wCwK[,103
K??????wCw[[,97
K??????wCwQ[,94
K??????wCwI[,87
K??????wCwY[,110
K??????wCwM[,99
K??????wCw][,117
K??????wCwB[,103
K??????wCwR[,103
K??????wCwJ[,103
K??????wCwZ[,120
K??????wCwN[,116
K??????wCw^[,126
K??????wCwB{,121
K??????wCwR{,105
K??????wCwJ{,110
K??????wCwZ{,121
K??????wCwN{,122
K??????wCw^{,124
K??????wCw?],78
K??????wEwW[,112
K??????wEwS[,104
K??????wEw[[,122
K??????wEwY[,126
K??????wEwU[,124
K??????wEw][,135
K??????wEwR[,122
K??????wEwZ[,133
K??????wEwF[,116
K??????wEwV[,135
K??????wEw^[,139
K??????wEwB{,154
K??????wEwR{,127
K??????wEwZ{,133
K??????wEwF{,125
K??????wEwV{,137
K??????wEw^{,134
K??????wFw[[,132
K??????wFw][,142
K??????wFwZ[,147
K??????wFw^[,145
K??????wFwR{,142
K??????wFwZ{,149
K??????wFw^{,141
K??????w?{QK,78
K??????w?{YK,95
K??????w?{]K,97
K??????w?{RK,100
K??????w?{ZK,123
K??????w?{^K,125
K??????w?{Rk,109
K??????w?{Zk,134
K??????w?{^k,136
K??????w?{R{,105
K??????w?{Z{,128
K??????w?{^{,130
K??????w?{BM,100
K??????w?{Bm,109
K??????w?{B},105
K??????w?{WL,95
K??????w?{[L,97
K??????wC{[K,97
K??????wC{YK,110
K??????wC{MK,98
K??????wC{]K,119
K??????wC{RK,105
K??????wC{JK,104
K??????wC{ZK,123
K??????wC{NK,117
K??????wC{^K,132
K??????wC{Rk,111
K??????wC{Jk,114
K??????wC{Zk,129
K??????wC{Nk,127
K??????wC{^k,136
K??????wC{B{,129
K??????wC{R{,112
K??????wC{J{,117
K??????wC{Z{,128
K??????wC{N{,128
K??????wC{^{,131
K??????wE{]K,138
K??????wE{ZK,136
K??????wE{VK,137
K??????wE{^K,146
K??????wE{Zk,141
K??????wE{Vk,143
K??????wE{^k,147
K??????wE{R{,134
K??????wE{Z{,141
K??????wE{F{,132
K??????wE{V{,142
K??????wE{^{,141
K??????wF{^K,149
K??????wF{^k,151
K??????wF{Z{,153
K??????wF{^{,148
K??????w?}]C,97
K??????w?}ZC,128
K??????w?}^C,130
K??????w?}Rc,117
K??????w?}Zc,146
K??????w?}^c,148
K??????w?}Rs,120
K??????w?}Zs,149
K??????w?}^s,151
K??????w?}R{,112
K??????w?}Z{,137
K??????w?}^{,139
K??????w?}Bu,120
K??????w?}B},112
K??????wC}^C,134
K??????wC}Zc,131
K??????wC}Nc,128
K??????wC}^c,142
K??????wC}Rs,116
K??????wC}Js,120
K??????wC}Zs,135
K??????wC}Ns,133
K??????wC}^s,143
K??????wC}R{,118
K??????wC}J{,121
K??????wC}Z{,134
K??????wC}N{,131
K??????wC}^{,137
K??????wE}^c,152
K??????wE}Zs,146
K??????wE}Vs,146
K??????wE}^s,152
K??????wE}Z{,148
K??????wE}V{,144
K??????wE}^{,147
K??????wF}^s,154
K??????wF}^{,154
K??????w?~^_,156
K??????w?~Zo,164
K??????w?~^o,166
K??????w?~Rw,128
K??????w?~Zw,161
K??????w?~^w,163
K??????w?~R{,118
K??????w?~Z{,145
K??????w?~^{,147
K??????w?~B},118
K??????wC~^o,147
K??????wC~Zw,138
K??????wC~Nw,134
K??????wC~^w,147
K??????wC~R{,123
K??????wC~J{,122
K??????wC~Z{,139
K??????wC~N{,131
K??????wC~^{,142
K??????wE~^w,154
K??????wE~Z{,154
K??????wE~V{,143
K??????wE~^{,152
K??????wF~^{,159
K??????w?ww[,103
K??????w?w{[,121
K??????w?wa],94
K??????w?wb],103
K??????w?wb},105
K??????w?{{K,117
K??????w?{bk,117
K??????w?{b{,129
K??????w?{bm,111
K??????w?{b},112
K??????w?{{L,105
K??????w?}b{,128
K??????w?}bu,116
K??????w?}b},118
K??????w?~b},123
K??????{F_P{,105
K??????{F_X{,136
K??????{F_\{,144
K??????{F_^{,129
K??????{F_@},105
K??????{F_@~,112
K??????{FOO{,99
K??????{FOW{,125
K??????{FO[{,132
K??????{FOA{,109
K??????{FOQ{,117
K??????{FOY{,136
K??????{FO]{,136
K??????{FOB{,104
K??????{FOR{,133
K??????{FOZ{,143
K??????{FO^{,134
K??????{FO?~,108
K??????{FoW{,136
K??????{Fo[{,148
K??????{Fo]{,141
K??????{FoP{,127
K??????{FoX{,150
K??????{Fo\{,154
K??????{Fo^{,139
K??????{Fo?},120
K??????{EWO[,92
K??????{EWW[,113
K??????{EWS[,108
K??????{EW[[,125
K??????{EWE[,137
K??????{EWU[,117
K??????{EW][,130
K??????{EWD[,99
K??????{EWT[,125
K??????{EW\[,136
K??????{EWF[,113
K??????{EWV[,133
K??????{EW^[,138
K??????{EWF{,126
K??????{EWV{,138
K??????{EW^{,135
K??????{EW?^,105
K??????{FW[[,136
K??????{FWY[,138
K??????{FW][,144
K??????{FWX[,140
K??????{FW\[,145
K??????{FWR[,135
K??????{FWZ[,149
K??????{FW^[,148
K??????{FWP{,132
K??????{FWX{,147
K??????{FW\{,147
K??????{FWB{,122
K??????{FWR{,144
K??????{FWZ{,151
K??????{FW^{,143
K??????{Fw][,147
K??????{Fw\[,158
K??????{Fw^[,151
K??????{FwX{,159
K??????{Fw\{,161
K??????{Fw^{,148
K??????{C[[K,101
K??????{C[MK,117
K??????{C[]K,105
K??????{C[HK,87
K??????{C[XK,110
K??????{C[LK,101
K??????{C[\K,121
K??????{C[NK,108
K??????{C[^K,125
K??????{C[Lk,117
K??????{C[\k,132
K??????{C[Nk,124
K??????{C[^k,134
K??????{C[N{,129
K??????{C[^{,132
K??????{E[[K,126
K??????{E[UK,117
K??????{E[]K,134
K??????{E[XK,127
K??????{E[TK,126
K??????{E[\K,140
K??????{E[FK,113
K??????{E[VK,135
K??????{E[^K,146
K??????{E[Xk,136
K??????{E[Tk,137
K??????{E[\k,147
K??????{E[Fk,128
K??????{E[Vk,144
K??????{E[^k,149
K??????{E[P{,127
K??????{E[X{,140
K??????{E[D{,124
K??????{E[T{,141
K??????{E[\{,147
K??????{E[F{,134
K??????{E[V{,144
K??????{E[^{,143
K??????{F[]K,148
K??????{F[\K,148
K??????{F[ZK,151
K??????{F[^K,156
K??????{F[\k,155
K??????{F[Zk,157
K??????{F[^k,157
K??????{F[X{,155
K??????{F[\{,157
K??????{F[R{,150
K??????{F[Z{,156
K??????{F[^{,151
K??????{F{^K,155
K??????{F{^k,158
K??????{F{\{,165
K??????{F{^{,156
K??????{?]XC,100
K??????{?]\C,109
K??????{?]^C,105
K??????{?]Xc,131
K??????{?]\c,143
K??????{?]^c,136
K??????{?]\s,156
K??????{?]^s,148
K??????{?]^{,141
K??????{?]@u,109
K??????{?]@},105
K??????{C]]C,105
K??????{C]\C,120
K??????{C]NC,106
K??????{C]^C,127
K??????{C]Xc,121
K??????{C]Lc,116
K??????{C]\c,134
K??????{C]Nc,124
K??????{C]^c,140
K??????{C]Ps,108
K??????{C]Hs,110
K??????{C]Xs,129
K??????{C]Ls,126
K??????{C]\s,141
K??????{C]Ns,133
K??????{C]^s,144
K??????{C]P{,112
K??????{C]H{,114
K??????{C]X{,132
K??????{C]L{,129
K??????{C]\{,141
K??????{C]N{,133
K??????{C]^{,139
K??????{E]^C,150
K??????{E]\c,150
K??????{E]Vc,146
K??????{E]^c,157
K??????{E]Xs,144
K??????{E]Ts,144
K??????{E]\s,155
K??????{E]Fs,136
K??????{E]Vs,150
K??????{E]^s,157
K??????{E]X{,149
K??????{E]T{,146
K??????{E]\{,155
K??????{E]F{,137
K??????{E]V{,147
K??????{E]^{,150
K??????{F]^c,163
K??????{F]\s,162
K??????{F]Zs,160
K??????{F]^s,163
K??????{F]\{,166
K??????{F]Z{,158
K??????{F]^{,158
K??????{F}^s,162
K??????{F}^{,163
K??????{?^^?,105
K??????{?^\_,150
K??????{?^^_,142
K??????{?^Xo,157
K??????{?^\o,172
K??????{?^^o,162
K??????{?^Pw,120
K??????{?^Xw,160
K??????{?^\w,175
K??????{?^^w,165
K??????{?^P{,112
K??????{?^X{,146
K??????{?^\{,159
K??????{?^^{,151
K??????{?^@},112
K??????{C^^_,142
K??????{C^\o,142
K??????{C^No,133
K??????{C^^o,150
K??????{C^Xw,134
K??????{C^Lw,130
K??????{C^\w,147
K??????{C^Nw,137
K??????{C^^w,151
K??????{C^P{,118
K??????{C^H{,117
K??????{C^X{,138
K??????{C^L{,131
K??????{C^\{,147
K??????{C^N{,134
K??????{C^^{,145
K??????{E^^o,163
K??????{E^\w,160
K??????{E^Vw,151
K??????{E^^w,162
K??????{E^X{,157
K??????{E^T{,148
K??????{E^\{,162
K??????{E^F{,135
K??????{E^V{,147
K??????{E^^{,156
K??????{F^^w,166
K??????{F^\{,174
K??????{F^Z{,157
K??????{F^^{,164
K??????{F~^{,169
K??????{?]`},112
K??????}FoW{,148
K??????}Fo[{,165
K??????}Fo]{,163
K??????}Fo^{,142
K??????}Fo?~,118
K??????}Fg[[,151
K??????}Fg][,150
K??????}FgX[,151
K??????}Fg\[,160
K??????}Fg^[,154
K??????}FgP{,143
K??????}FgX{,160
K??????}Fg\{,162
K??????}Fg^{,149
K??????}Fw][,166
K??????}Fw^[,154
K??????}Fw[{,173
K??????}Fw]{,170
K??????}Fw^{,152
K??????}FK[K,138
K??????}FK]K,150
K??????}FKZK,150
K??????}FK^K,157
K??????}FKYk,153
K??????}FK]k,158
K??????}FKRk,146
K??????}FKZk,158
K??????}FK^k,159
K??????}FKB{,134
K??????}FKR{,151
K??????}FKZ{,157
K??????}FK^{,152
K??????}Fk]K,153
K??????}Fk\K,162
K??????}Fk^K,163
K??????}Fk]k,162
K??????}Fk\k,168
K??????}Fk^k,164
K??????}Fk[{,169
K??????}Fk]{,166
K??????}FkX{,165
K??????}Fk\{,167
K??????}Fk^{,158
K??????}F{^K,158
K??????}F{^k,162
K??????}F{]{,174
K??????}F{^{,161
K??????}EM]C,137
K??????}EM^C,145
K??????}EM[c,141
K??????}EMUc,137
K??????}EM]c,151
K??????}EMVc,143
K??????}EM^c,156
K??????}EMEs,129
K??????}EMUs,147
K??????}EM]s,158
K??????}EMFs,135
K??????}EMVs,150
K??????}EM^s,158
K??????}EMF{,138
K??????}EMV{,148
K??????}EM^{,151
K??????}FM^C,163
K??????}FM]c,162
K??????}FMZc,161
K??????}FM^c,169
K??????}FM[s,161
K??????}FMYs,161
K??????}FM]s,168
K??????}FMRs,153
K??????}FMZs,164
K??????}FM^s,168
K??????}FM[{,169
K??????}FMY{,164
K??????}FM]{,169
K??????}FMR{,153
K??????}FMZ{,160
K??????}FM^{,160
K??????}Fm^c,171
K??????}Fm]s,171
K??????}Fm\s,171
K??????}Fm^s,171
K??????}Fm]{,177
K??????}Fm\{,169
K??????}Fm^{,166
K??????}F}^s,167
K??????}F}^{,169
K??????}CN^?,112
K??????}CN]_,127
K??????}CNN_,111
K??????}CN^_,134
K??????}CN[o,132
K??????}CNMo,123
K??????}CN]o,142
K??????}CNNo,128
K??????}CN^o,147
K??????}CNMw,133
K??????}CN]w,150
K??????}CNNw,136
K??????}CN^w,151
K??????}CNN{,135
K??????}CN^{,146
K??????}EN^_,161
K??????}EN]o,161
K??????}ENVo,152
K??????}EN^o,167
K??????}EN[w,159
K??????}ENUw,152
K??????}EN]w,166
K??????}ENFw,139
K??????}ENVw,154
K??????}EN^w,166
K??????}ENW{,155
K??????}ENS{,148
K??????}EN[{,165
K??????}ENE{,137
K??????}ENU{,153
K??????}EN]{,166
K??????}ENF{,137
K??????}ENV{,149
K??????}EN^{,158
K??????}FN^o,176
K??????}FN]w,175
K??????}FNZw,165
K??????}FN^w,174
K??????}FN[{,180
K??????}FNY{,167
K??????}FN]{,178
K??????}FNR{,150
K??????}FNZ{,160
K??????}FN^{,167
K??????}Fn^w,175
K??????}Fn]{,187
K??????}Fn\{,168
K??????}Fn^{,173
K??????}F~^{,176
K??????~Fw][,184
K??????~Fw^[,176
K??????~Fw^{,153
K??????~Fs]K,167
K??????~Fs^K,162
K??????~Fs]k,176
K??????~Fs^k,168
K??????~Fs[{,177
K??????~Fs]{,175
K??????~Fs^{,162
K??????~F{^k,163
K??????~F{^[,180
K??????~F{^{,163
K??????~Fe^c,178
K??????~Fe\S,171
K??????~Fe^S,174
K??????~Fe\s,175
K??????~Fe^s,176
K??????~FeX{,166
K??????~Fe\{,170
K??????~Fe^{,167
K??????~Fu^c,176
K??????~Fu^S,173
K??????~Fu]s,179
K??????~Fu^s,176
K??????~Fu^[,181
K??????~Fu]{,177
K??????~Fu^{,171
K??????~F}^s,169
K??????~F}^{,172
K??????~FF^_,177
K??????~FF^O,173
K??????~FFZo,168
K??????~FF^o,181
K??????~FFZW,167
K??????~FF^W,178
K??????~FFRw,155
K??????~FFZw,168
K??????~FF^w,178
K??????~FFB{,138
K??????~FFR{,151
K??????~FFZ{,161
K??????~FF^{,168
K??????~Ff^o,186
K??????~Ff^W,183
K??????~Ff\w,176
K??????~Ff^w,183
K??????~Ff][,192
K??????~Ff\[,179
K??????~Ff^[,187
K??????~FfX{,162
K??????~Ff\{,170
K??????~Ff^{,175
K??????~Fv^w,181
K??????~Fv^[,193
K??????~Fv]{,176
K??????~Fv^{,179
K??????~F~^{,180
K??????~f{^k,183
K??????~f{^{,162
K??????~fy^c,168
K??????~fy^s,178
K??????~fy^[,182
K??????~fy^{,173
K??????~f}^s,168
K??????~f}^{,172
K??????~fr^o,193
K??????~fr^g,184
K??????~fr]w,184
K??????~fr^w,189
K??????~fr[{,171
K??????~fr]{,177
K??????~fr^{,180
K??????~fz^w,184
K??????~fz^k,192
K??????~fz^[,181
K??????~fz^{,182
K??????~f~^{,181
K??????~v}^s,184
K??????~v}^{,169
K??????~v|^k,183
K??????~v|^{,182
K??????~v~^{,179
K??????~~~^{,174
K????A?O@?^w,78
K????A?OD?Zw,78
K????A?OD?Nw,78
K????A?OD?^w,88
K????A?OF?Rw,78
K????A?OF?Zw,94
K????A?OF?Fw,78
K????A?OF?Vw,98
K????A?OF?^w,98
K????A?OF?B{,78
K????A?OF?B},92
K????A?OF?Bx,78
K????A?OF?B|,88
K????A?OF?B~,98
K????A?O@_\w,78
K????A?O@_^w,88
K????A?O@_Xx,78
K????A?OD_Xw,78
K????A?OD_Lw,78
K????A?OD_\w,94
K????A?OD_Nw,100
K????A?OD_^w,97
K????A?OD_H{,78
K????A?OD_Hx,78
K????A?OD_H|,88
K????A?OF_Pw,78
K????A?OF_Xw,97
K????A?OF_Dw,78
K????A?OF_Tw,100
K????A?OF_\w,106
K????A?OF_Fw,104
K????A?OF_Vw,113
K????A?OF_^w,106
K????A?OF_@{,78
K????A?OF_@},95
K????A?OF_@|,88
K????A?OF_@~,98
K????A?O@o[w,78
K????A?O@o]w,95
K????A?O@o^w,97
K????A?O@oWx,78
K????A?ODoWw,78
K????A?ODoKw,78
K????A?ODo[w,98
K????A?ODoMw,103
K????A?ODo]w,107
K????A?ODoNw,117
K????A?ODo^w,105
K????A?ODoG{,78
K????A?ODoGx,78
K????A?ODoG|,88
K????A?OFoWw,98
K????A?OFo[w,110
K????A?OFoUw,115
K????A?OFo]w,115
K????A?OFoFw,121
K????A?OFoVw,123
K????A?OFo^w,113
K????A?OFo?},96
K????A?OFo?~,98
K????A?O@w[W,78
K????A?O@w]W,100
K????A?O@w^W,109
K????A?O@w^w,105
K????A?O@wWX,78
K????A?ODw[W,100
K????A?ODwMW,104
K????A?ODw]W,113
K????A?ODwNW,121
K????A?ODw^W,117
K????A?ODwNw,129
K????A?ODw^w,112
K????A?OFw]W,118
K????A?OFw^W,121
K????A?OFwVw,128
K????A?OFw^w,119
K????A?O@{]G,103
K????A?O@{^G,117
K????A?O@{^g,120
K????A?O@{^w,112
K????A?OD{^G,123
K????A?OD{Ng,132
K????A?OD{^g,124
K????A?OD{Nw,136
K????A?OD{^w,118
K????A?OF{^g,124
K????A?OF{^w,124
K????A?O@}^_,129
K????A?O@}^o,128
K????A?O@}^w,118
K????A?OD}^o,128
K????A?OD}Nw,138
K????A?OD}^w,123
K????A?OF}^w,128
K????A?oB?Rw,78
K????A?oB?Jw,78
K????A?oB?Zw,90
K????A?oB?Fw,78
K????A?oB?Vw,87
K????A?oB?Nw,88
K????A?oB?^w,99
K????A?oF?Rw,88
K????A?oF?Jw,94
K????A?oF?Zw,102
K????A?oF?Fw,88
K????A?oF?Vw,103
K????A?oF?Nw,114
K????A?oF?^w,107
K????A?o@_Tw,78
K????A?o@_Lw,78
K????A?o@_\w,88
K????A?o@_Vw,88
K????A?o@_Nw,88
K????A?o@_^w,99
K????A?o@_Px,78
K????A?o@_Hx,78
K????A?o@_Xx,88
K????A?oB_Pw,78
K????A?oB_Hw,78
K????A?oB_Xw,91
K????A?oB_Dw,78
K????A?oB_Tw,88
K????A?oB_Lw,92
K????A?oB_\w,106
K????A?oB_Fw,104
K????A?oB_Vw,100
K????A?oB_Nw,97
K????A?oB_^w,108
K????A?oB_@{,78
K????A?oB_@y,78
K????A?oB_@},88
K????A?oB_@x,78
K????A?oB_@|,87
K????A?oB_@z,92
K????A?oB_@~,100
K????A?oF_Pw,88
K????A?oF_Hw,93
K????A?oF_Xw,105
K????A?oF_Dw,88
K????A?oF_Tw,106
K????A?oF_Lw,115
K????A?oF_\w,115
K????A?oF_Fw,119
K????A?oF_Vw,115
K????A?oF_Nw,128
K????A?oF_^w,116
K????A?oF_@{,88
K????A?oF_@y,98
K????A?oF_@},120
K????A?oF_@|,102
K????A?oF_@z,101
K????A?oF_@~,107
K????A?o@oSw,78
K????A?o@oKw,78
K????A?o@o[w,88
K????A?o@oUw,95
K????A?o@oMw,95
K????A?o@o]w,107
K????A?o@oVw,97
K????A?o@oNw,97
K????A?o@o^w,109
K????A?o@oOx,78
K????A?o@oGx,78
K????A?o@oWx,88
K????A?oDoGw,78
K????A?oDoWw,88
K????A?oDoSw,94
K????A?oDoKw,90
K????A?oDo[w,106
K????A?oDoEw,103
K????A?oDoUw,103
K????A?oDoMw,109
K????A?oDo]w,115
K????A?oDoFw,121
K????A?oDoVw,105
K????A?oDoNw,119
K????A?oDo^w,115
K????A?oDo?{,78
K????A?oDo?y,78
K????A?oDo?},100
K????A?oDo?|,94
K????A?oDo?z,94
K????A?oDo?~,100
K????A?oBoGw,78
K????A?oBoWw,92
K????A?oBoSw,89
K????A?oBoKw,94
K????A?oBo[w,111
K????A?oBoEw,103
K????A?oBoUw,105
K????A?oBoMw,103
K????A?oBo]w,119
K????A?oBoFw,121
K????A?oBoVw,110
K????A?oBoNw,105
K????A?oBo^w,116
K????A?oBo?{,78
K????A?oBo?},88
K????A?oBo?|,87
K????A?oBo?~,101
K????A?oFoWw,106
K????A?oFo[w,119
K????A?oFoUw,119
K????A?oFoMw,129
K????A?oFo]w,125
K????A?oFoFw,139
K????A?oFoVw,124
K????A?oFoNw,137
K????A?oFo^w,124
K????A?oFo?},122
K????A?oFo?~,107
K????A?o@wSW,78
K????A?o@wKW,78
K????A?o@w[W,88
K????A?o@wUW,100
K????A?o@wMW,100
K????A?o@w]W,113
K????A?o@wVW,109
K????A?o@wNW,109
K????A?o@w^W,123
K????A?o@wVw,105
K????A?o@wNw,105
K????A?o@w^w,118
