,graph6_label,num_nodes,num_edges,gpn_score
0,>>graph6<<U_@??COA_@C_o?CACG?_Q?@?_OGT?CGC?@?GA?GG,22,33,969
1,>>graph6<<W??D?GOCBA??c?P?P?GQ??C??CG@c@O???CCP??OD?_??`C,24,36,812
2,>>graph6<<YGGGGA??G_???C_OOC?CG???OGGAA??__GE?O?_QCG?A@@?H?A??OG_?,26,39,992
3,>>graph6<<[@@K?__GOG?G?@A??AQ?O__A????A???O?a_???_OAC??AACg???@@OG@??_??I_,28,42,1027
4,>>graph6<<]W??E?I?O?@??G?`?@o?S???C?C???G?OC?WCA@??_?A??_C?O@WC?????P?S?O????a???@?g,30,45,1219
