type,name,num_nodes,num_edges,gpn_num
bipartite,"G(5, 5, 19)",10,19,128
bipartite,"G(5, 5, 20)",10,20,132
bipartite,"G(5, 5, 21)",10,21,121
bipartite,"G(5, 5, 22)",10,22,135
bipartite,"G(5, 5, 23)",10,23,142
bipartite,"G(5, 5, 24)",10,24,142
bipartite,"G(5, 5, 25)",10,25,135
cubic,cubic_4_nodes_1,4,6,10
cubic,cubic_6_nodes_1,6,9,33
cubic,cubic_6_nodes_2,6,9,27
cubic,cubic_8_nodes_1,8,12,68
cubic,cubic_8_nodes_2,8,12,44
cubic,cubic_8_nodes_3,8,12,46
cubic,cubic_8_nodes_4,8,12,48
cubic,cubic_8_nodes_5,8,12,41
cubic,cubic_10_nodes_1,10,15,91
cubic,cubic_10_nodes_2,10,15,95
cubic,cubic_10_nodes_3,10,15,85
cubic,cubic_10_nodes_4,10,15,73
cubic,cubic_10_nodes_5,10,15,76
cubic,cubic_10_nodes_6,10,15,75
cubic,cubic_10_nodes_7,10,15,87
cubic,cubic_10_nodes_8,10,15,74
cubic,cubic_10_nodes_9,10,15,75
cubic,cubic_10_nodes_10,10,15,72
cubic,cubic_10_nodes_11,10,15,69
cubic,cubic_10_nodes_12,10,15,76
cubic,cubic_10_nodes_13,10,15,69
cubic,cubic_10_nodes_14,10,15,55
cubic,cubic_10_nodes_15,10,15,69
cubic,cubic_10_nodes_16,10,15,64
cubic,cubic_10_nodes_17,10,15,61
cubic,cubic_10_nodes_18,10,15,61
cubic,cubic_10_nodes_19,10,15,61
triangle-free,tf_0,1,0,1
triangle-free,tf_1_1,2,1,3
triangle-free,tf_1_1_2,3,2,6
triangle-free,tf_1_1_1_3,4,3,10
triangle-free,tf_2_1_1_2,4,3,10
triangle-free,tf_2_2_2_2,4,4,12
triangle-free,tf_1_1_1_1_4,5,4,15
triangle-free,tf_2_1_1_1_3,5,4,15
triangle-free,tf_2_2_1_2_3,5,5,18
triangle-free,tf_2_2_2_3_3,5,6,20
triangle-free,tf_2_2_1_1_2,5,4,15
triangle-free,tf_2_2_2_2_2,5,5,15
triangle-free,tf_1_1_1_1_1_5,6,5,21
triangle-free,tf_2_1_1_1_1_4,6,5,21
triangle-free,tf_2_1_1_1_2_3,6,5,21
triangle-free,tf_2_2_1_1_2_4,6,6,25
triangle-free,tf_1_1_1_1_3_3,6,5,21
triangle-free,tf_2_2_1_1_3_3,6,6,26
triangle-free,tf_2_2_2_1_3_4,6,7,28
triangle-free,tf_2_2_2_2_4_4,6,8,30
triangle-free,tf_2_2_1_1_1_3,6,5,21
triangle-free,tf_3_2_1_1_2_3,6,6,25
triangle-free,tf_2_2_1_2_2_3,6,6,21
triangle-free,tf_2_2_1_1_2_2,6,5,21
triangle-free,tf_2_2_2_1_2_3,6,6,25
triangle-free,tf_2_2_2_2_3_3,6,7,23
triangle-free,tf_3_3_1_2_2_3,6,7,28
triangle-free,tf_2_2_2_2_2_2,6,6,24
triangle-free,tf_3_2_2_2_2_3,6,7,29
triangle-free,tf_3_3_2_2_3_3,6,8,32
triangle-free,tf_3_3_3_3_3_3,6,9,33
triangle-free,tf_1_1_1_1_1_1_6,7,6,28
triangle-free,tf_2_1_1_1_1_1_5,7,6,28
triangle-free,tf_2_1_1_1_1_2_4,7,6,28
triangle-free,tf_2_2_1_1_1_2_5,7,7,33
triangle-free,tf_1_1_1_1_1_3_4,7,6,28
triangle-free,tf_2_1_1_1_1_3_3,7,6,28
triangle-free,tf_2_2_1_1_1_3_4,7,7,35
triangle-free,tf_2_2_2_1_1_3_5,7,8,37
triangle-free,tf_2_2_2_1_1_4_4,7,8,39
triangle-free,tf_2_2_2_2_1_4_5,7,9,40
triangle-free,tf_2_2_2_2_2_5_5,7,10,42
triangle-free,tf_2_2_1_1_1_1_4,7,6,28
triangle-free,tf_2_2_1_1_1_2_3,7,6,28
triangle-free,tf_3_2_1_1_1_2_4,7,7,33
triangle-free,tf_2_2_1_1_2_2_4,7,7,28
triangle-free,tf_2_2_1_1_1_2_3,7,6,28
triangle-free,tf_2_2_2_1_1_2_4,7,7,33
triangle-free,tf_2_1_1_1_1_3_3,7,6,28
triangle-free,tf_3_2_2_1_1_3_4,7,8,37
triangle-free,tf_2_2_1_1_2_3_3,7,7,28
triangle-free,tf_2_2_2_1_2_3_4,7,8,31
triangle-free,tf_2_2_2_1_1_3_3,7,7,35
triangle-free,tf_2_2_2_2_1_3_4,7,8,37
triangle-free,tf_3_2_2_2_1_4_4,7,9,40
triangle-free,tf_2_2_2_2_2_4_4,7,9,33
triangle-free,tf_3_3_1_1_2_2_4,7,8,37
triangle-free,tf_2_2_2_1_2_2_3,7,7,32
triangle-free,tf_3_2_2_1_2_2_4,7,8,38
triangle-free,tf_2_1_2_1_3_2_3,7,7,28
triangle-free,tf_2_1_1_1_3_3_3,7,7,34
triangle-free,tf_3_3_1_1_2_3_3,7,8,38
triangle-free,tf_3_3_2_1_2_3_4,7,9,42
triangle-free,tf_2_2_2_1_2_2_3,7,7,33
triangle-free,tf_2_2_2_2_2_2_4,7,8,39
triangle-free,tf_1_1_2_2_3_2_3,7,7,33
triangle-free,tf_2_2_2_2_2_3_3,7,8,36
triangle-free,tf_3_2_2_2_2_3_4,7,9,42
triangle-free,tf_2_1_2_2_3_3_3,7,8,30
triangle-free,tf_3_3_2_2_2_4_4,7,10,46
triangle-free,tf_2_2_2_2_3_3_4,7,9,32
triangle-free,tf_3_3_3_1_3_3_4,7,10,44
triangle-free,tf_3_3_2_2_3_3_4,7,10,47
triangle-free,tf_3_3_3_2_3_4_4,7,11,49
triangle-free,tf_3_3_3_3_4_4_4,7,12,49
triangle-free,tf_2_2_2_1_1_1_3,7,6,28
triangle-free,tf_2_2_2_1_1_2_2,7,6,28
triangle-free,tf_3_2_2_1_1_2_3,7,7,33
triangle-free,tf_2_2_2_2_1_2_3,7,7,28
triangle-free,tf_2_2_2_2_2_3_3,7,8,30
triangle-free,tf_3_3_2_1_2_2_3,7,8,39
triangle-free,tf_2_2_2_2_2_2_2,7,7,28
triangle-free,tf_2_3_2_2_2_2_3,7,8,32
triangle-free,tf_3_3_1_2_2_2_3,7,8,31
triangle-free,tf_3_3_2_2_2_3_3,7,9,34
triangle-free,tf_2_3_3_1_2_2_3,7,8,37
triangle-free,tf_3_3_3_1_2_3_3,7,9,44
triangle-free,tf_2_3_3_2_2_3_3,7,9,35
triangle-free,tf_3_3_3_2_3_3_3,7,10,36
triangle-free,tf_3_3_3_2_2_2_3,7,9,43
triangle-free,tf_1_1_1_1_1_1_1_7,8,7,36
triangle-free,tf_2_1_1_1_1_1_1_6,8,7,36
triangle-free,tf_2_1_1_1_1_1_2_5,8,7,36
triangle-free,tf_2_2_1_1_1_1_2_6,8,8,42
triangle-free,tf_1_1_1_1_1_1_3_5,8,7,36
triangle-free,tf_2_1_1_1_1_1_3_4,8,7,36
triangle-free,tf_2_2_1_1_1_1_3_5,8,8,45
triangle-free,tf_2_2_2_1_1_1_3_6,8,9,47
triangle-free,tf_1_1_1_1_1_1_4_4,8,7,36
triangle-free,tf_2_2_1_1_1_1_4_4,8,8,46
triangle-free,tf_2_2_2_1_1_1_4_5,8,9,51
triangle-free,tf_2_2_2_2_1_1_4_6,8,10,51
triangle-free,tf_2_2_2_2_1_1_5_5,8,10,54
triangle-free,tf_2_2_2_2_2_1_5_6,8,11,54
triangle-free,tf_2_2_2_2_2_2_6_6,8,12,56
triangle-free,tf_2_2_1_1_1_1_1_5,8,7,36
triangle-free,tf_3_1_1_1_1_1_2_4,8,7,36
triangle-free,tf_2_2_1_1_1_1_2_4,8,7,36
triangle-free,tf_3_2_1_1_1_1_2_5,8,8,42
triangle-free,tf_2_2_1_1_1_2_2_5,8,8,36
triangle-free,tf_2_2_1_1_1_1_2_4,8,7,36
triangle-free,tf_2_2_2_1_1_1_2_5,8,8,42
triangle-free,tf_2_1_1_1_1_1_3_4,8,7,36
triangle-free,tf_3_2_1_1_1_1_3_4,8,8,44
triangle-free,tf_2_2_2_1_1_1_3_4,8,8,46
triangle-free,tf_3_2_2_1_1_1_3_5,8,9,47
triangle-free,tf_2_1_1_1_1_2_3_3,8,7,36
triangle-free,tf_2_2_1_1_1_2_3_4,8,8,36
triangle-free,tf_2_2_2_1_1_2_3_5,8,9,40
triangle-free,tf_2_1_1_1_1_2_4_4,8,8,42
triangle-free,tf_2_2_1_1_1_1_3_3,8,7,36
triangle-free,tf_2_2_2_1_1_1_3_4,8,8,45
triangle-free,tf_2_2_2_2_1_1_3_5,8,9,47
triangle-free,tf_3_2_2_1_1_1_4_4,8,9,49
triangle-free,tf_3_2_2_2_1_1_4_5,8,10,51
triangle-free,tf_2_2_2_1_1_2_4_4,8,9,41
triangle-free,tf_2_2_2_2_1_2_4_5,8,10,43
triangle-free,tf_2_2_2_2_1_1_4_4,8,9,51
triangle-free,tf_2_2_2_2_2_1_4_5,8,10,51
triangle-free,tf_3_2_2_2_2_1_5_5,8,11,54
triangle-free,tf_2_2_2_2_2_2_5_5,8,11,45
triangle-free,tf_3_2_1_1_1_2_2_4,8,8,42
triangle-free,tf_3_3_1_1_1_2_2_5,8,9,47
triangle-free,tf_2_2_1_1_1_2_2_3,8,7,36
triangle-free,tf_3_2_1_1_1_2_2_4,8,8,42
triangle-free,tf_2_2_2_1_1_2_2_4,8,8,41
triangle-free,tf_3_2_2_1_1_2_2_5,8,9,48
triangle-free,tf_2_1_2_1_1_3_2_4,8,8,36
triangle-free,tf_2_1_1_1_1_3_3_4,8,8,43
triangle-free,tf_3_3_1_1_1_2_3_4,8,9,49
triangle-free,tf_3_2_2_1_1_2_3_4,8,9,50
triangle-free,tf_3_3_2_1_1_2_3_5,8,10,53
triangle-free,tf_2_2_1_1_1_3_3_3,8,8,45
triangle-free,tf_2_2_2_1_1_3_3_4,8,9,38
triangle-free,tf_2_1_2_1_1_2_2_3,8,7,36
triangle-free,tf_2_2_2_1_1_2_2_4,8,8,42
triangle-free,tf_2_2_2_2_1_2_2_5,8,9,49
triangle-free,tf_1_1_2_1_1_3_2_3,8,7,36
triangle-free,tf_1_1_2_2_1_3_2_4,8,8,42
triangle-free,tf_1_1_1_1_1_3_3_3,8,7,36
triangle-free,tf_2_2_2_1_1_2_3_3,8,8,41
triangle-free,tf_3_2_2_1_1_2_3_4,8,9,50
triangle-free,tf_3_1_2_2_1_2_3_4,8,9,47
triangle-free,tf_2_2_2_2_1_2_3_4,8,9,47
triangle-free,tf_3_2_2_2_1_2_3_5,8,10,53
triangle-free,tf_2_1_2_1_1_3_3_3,8,8,36
triangle-free,tf_2_1_2_2_1_3_3_4,8,9,39
triangle-free,tf_3_3_2_1_1_2_4_4,8,10,55
triangle-free,tf_3_3_2_2_1_2_4_5,8,11,58
triangle-free,tf_2_2_2_1_1_2_3_3,8,8,42
triangle-free,tf_2_1_2_2_1_2_3_3,8,8,45
triangle-free,tf_2_2_2_2_1_2_3_4,8,9,53
triangle-free,tf_2_1_2_2_2_2_3_4,8,9,47
triangle-free,tf_2_2_2_2_2_2_3_5,8,10,55
triangle-free,tf_1_1_2_2_2_3_3_4,8,9,47
triangle-free,tf_3_2_2_2_1_2_4_4,8,10,55
triangle-free,tf_3_1_2_2_2_2_4_4,8,10,51
triangle-free,tf_2_2_2_2_2_2_4_4,8,10,50
triangle-free,tf_3_2_2_2_2_2_4_5,8,11,57
triangle-free,tf_3_3_2_2_2_2_5_5,8,12,62
triangle-free,tf_2_2_2_1_1_3_3_4,8,9,39
triangle-free,tf_2_2_2_2_1_3_3_5,8,10,42
triangle-free,tf_1_1_2_2_1_4_3_4,8,9,47
